codice_comune,sigla_provincia
A074,TO
A109,TO
A117,TO
A157,TO
A218,TO
A221,TO
A222,TO
A275,TO
A282,TO
A295,TO
A405,TO
A518,TO
A525,TO
A584,TO
A587,TO
A590,TO
A591,TO
A599,TO
A607,TO
A625,TO
A651,TO
A673,TO
A734,TO
A853,TO
A910,TO
A941,TO
A990,TO
B003,TO
B015,TO
B021,TO
B024,TO
B075,TO
B121,TO
B171,TO
B205,TO
B209,TO
B216,TO
B225,TO
B232,TO
B278,TO
B279,TO
B284,TO
B297,TO
B305,TO
B350,TO
B435,TO
B462,TO
B512,TO
B588,TO
B592,TO
B605,TO
B628,TO
B637,TO
B705,TO
B733,TO
B762,TO
B777,TO
B791,TO
B867,TO
B953,TO
B955,TO
B960,TO
C045,TO
C048,TO
C133,TO
C241,TO
C307,TO
C369,TO
C404,TO
C487,TO
C497,TO
C505,TO
C564,TO
C604,TO
C610,TO
C624,TO
C627,TO
C629,TO
C639,TO
C655,TO
C665,TO
C679,TO
C711,TO
C715,TO
C722,TO
C793,TO
C801,TO
C803,TO
C860,TO
C867,TO
C868,TO
C955,TO
D008,TO
D092,TO
D197,TO
D202,TO
D208,TO
D373,TO
D433,TO
D520,TO
D524,TO
D532,TO
D562,TO
D608,TO
D646,TO
D725,TO
D781,TO
D805,TO
D812,TO
D931,TO
D933,TO
D983,TO
E009,TO
E020,TO
E067,TO
E154,TO
E199,TO
E203,TO
E216,TO
E301,TO
E311,TO
E345,TO
E368,TO
E379,TO
E394,TO
E423,TO
E445,TO
E484,TO
E518,TO
E520,TO
E551,TO
E566,TO
E635,TO
E660,TO
E661,TO
E683,TO
E758,TO
E759,TO
E763,TO
E782,TO
E817,TO
E941,TO
F041,TO
F053,TO
F058,TO
F067,TO
F074,TO
F140,TO
F182,TO
F315,TO
F318,TO
F327,TO
F335,TO
D553,TO
F407,TO
F411,TO
F420,TO
F422,TO
F651,TO
F733,TO
F889,TO
F906,TO
F925,TO
F927,TO
F931,TO
F948,TO
G010,TO
G087,TO
G109,TO
G151,TO
G152,TO
G196,TO
G202,TO
G262,TO
G303,TO
G330,TO
G387,TO
G392,TO
G398,TO
G463,TO
G462,TO
G465,TO
G477,TO
G505,TO
G559,TO
G672,TO
G674,TO
G678,TO
G684,TO
G691,TO
G705,TO
G719,TO
G777,TO
G805,TO
G826,TO
G900,TO
G973,TO
G978,TO
G979,TO
G982,TO
G986,TO
G988,TO
G997,TO
H100,TO
H120,TO
H127,TO
H207,TO
H270,TO
H333,TO
H335,TO
H337,TO
H338,TO
H340,TO
H344,TO
H355,TO
H367,TO
H386,TO
H498,TO
H511,TO
H539,TO
H547,TO
H554,TO
H555,TO
H583,TO
H627,TO
H631,TO
H691,TO
H684,TO
H702,TO
H734,TO
H753,TO
H775,TO
H789,TO
H804,TO
H820,TO
H847,TO
H855,TO
H862,TO
H873,TO
H890,TO
H900,TO
H936,TO
H997,TO
I024,TO
I030,TO
I090,TO
I126,TO
I137,TO
I152,TO
I154,TO
I258,TO
I296,TO
I327,TO
I465,TO
I466,TO
I490,TO
I511,TO
I539,TO
I692,TO
I701,TO
I703,TO
I702,TO
I886,TO
I969,TO
I970,TO
L013,TO
L066,TO
L219,TO
L238,TO
L247,TO
L277,TO
L327,TO
L345,TO
L340,TO
L445,TO
L515,TO
L516,TO
L538,TO
L555,TO
L578,TO
L629,TO
L644,TO
B510,TO
L685,TO
L698,TO
L726,TO
L727,TO
L779,TO
L787,TO
L811,TO
L830,TO
L857,TO
L898,TO
L948,TO
L982,TO
M002,TO
L999,TO
M004,TO
M007,TO
M013,TO
M014,TO
M027,TO
M060,TO
M069,TO
M071,TO
M080,TO
M094,TO
M122,TO
M133,TO
M316,TO
M405,TO
M415,TO
A119,VC
A130,VC
A198,VC
A358,VC
A466,VC
A600,VC
A601,VC
A847,VC
A914,VC
B009,VC
B041,VC
B046,VC
B280,VC
B505,VC
B752,VC
B767,VC
B768,VC
B782,VC
B928,VC
B952,VC
C548,VC
C680,VC
C757,VC
C884,VC
D113,VC
D132,VC
D154,VC
D187,VC
D281,VC
D641,VC
D676,VC
D712,VC
D938,VC
E007,VC
E163,VC
E237,VC
E433,VC
E528,VC
E583,VC
E626,VC
E711,VC
F297,VC
F342,VC
F774,VC
G016,VC
G018,VC
G266,VC
G471,VC
G528,VC
G666,VC
G685,VC
G940,VC
G985,VC
H108,VC
H132,VC
H188,VC
H293,VC
H346,VC
H365,VC
H549,VC
H577,VC
H364,VC
H690,VC
H707,VC
H725,VC
H861,VC
I337,VC
I544,VC
I545,VC
I663,VC
I984,VC
L420,VC
L429,VC
L451,VC
L566,VC
L669,VC
L750,VC
M003,VC
M028,VC
M106,VC
M389,VC
M398,VC
A088,NO
A264,NO
A414,NO
A429,NO
A653,NO
A752,NO
A844,NO
A911,NO
A929,NO
A953,NO
B016,NO
B019,NO
B043,NO
B176,NO
B183,NO
B431,NO
B473,NO
B823,NO
B864,NO
B883,NO
B897,NO
B920,NO
C149,NO
C166,NO
C364,NO
C365,NO
C378,NO
C483,NO
C829,NO
C926,NO
D162,NO
D216,NO
D309,NO
D347,NO
D492,NO
D675,NO
D872,NO
D911,NO
D921,NO
E001,NO
E120,NO
E143,NO
E177,NO
E314,NO
E436,NO
E544,NO
E803,NO
E880,NO
E907,NO
F047,NO
F093,NO
F188,NO
F191,NO
F317,NO
F859,NO
F886,NO
F952,NO
G019,NO
G020,NO
G134,NO
G349,NO
G421,NO
G520,NO
G703,NO
G775,NO
G809,NO
H001,NO
H213,NO
H502,NO
H518,NO
I025,NO
I052,NO
I116,NO
I736,NO
I767,NO
I857,NO
I880,NO
L007,NO
L104,NO
L223,NO
L356,NO
L668,NO
L670,NO
L808,NO
L847,NO
M062,NO
M416,NO
A016,CN
A113,CN
A124,CN
A139,CN
A238,CN
A394,CN
A396,CN
A555,CN
A571,CN
A589,CN
A629,CN
A660,CN
A671,CN
A709,CN
A716,CN
A735,CN
A750,CN
A774,CN
A779,CN
A782,CN
A798,CN
A805,CN
A979,CN
B018,CN
B033,CN
B079,CN
B084,CN
B101,CN
B111,CN
B167,CN
B175,CN
B200,CN
B204,CN
B285,CN
B467,CN
B573,CN
B621,CN
B692,CN
B719,CN
B720,CN
B755,CN
B841,CN
B845,CN
B894,CN
C046,CN
C081,CN
C165,CN
C167,CN
C173,CN
C176,CN
C205,CN
C214,CN
C314,CN
C317,CN
C323,CN
C375,CN
C376,CN
C441,CN
C466,CN
C504,CN
C530,CN
C547,CN
C550,CN
C589,CN
C599,CN
C653,CN
C681,CN
C738,CN
C792,CN
D022,CN
D062,CN
D093,CN
D120,CN
D133,CN
D172,CN
D205,CN
D271,CN
D291,CN
D314,CN
D372,CN
D401,CN
D410,CN
D412,CN
D499,CN
D511,CN
D523,CN
D742,CN
D751,CN
D752,CN
D782,CN
D856,CN
D894,CN
D920,CN
D967,CN
E111,CN
E115,CN
E118,CN
E182,CN
E251,CN
E282,CN
E327,CN
E406,CN
E430,CN
E540,CN
E539,CN
E546,CN
E564,CN
E597,CN
E615,CN
E789,CN
E809,CN
E808,CN
E887,CN
E894,CN
E939,CN
E945,CN
E963,CN
E973,CN
E988,CN
F114,CN
F279,CN
F309,CN
F312,CN
F326,CN
F329,CN
F330,CN
F338,CN
F351,CN
F355,CN
F358,CN
F385,CN
F405,CN
F408,CN
F424,CN
F550,CN
F558,CN
F608,CN
F654,CN
F666,CN
F669,CN
F723,CN
F743,CN
F809,CN
F811,CN
F846,CN
F863,CN
F883,CN
F894,CN
F895,CN
F961,CN
F972,CN
G066,CN
G114,CN
G183,CN
G228,CN
G240,CN
G302,CN
G339,CN
G457,CN
G458,CN
G526,CN
G532,CN
G561,CN
G575,CN
G625,CN
G683,CN
G697,CN
G742,CN
G800,CN
G837,CN
G970,CN
H011,CN
H059,CN
H068,CN
H069,CN
H085,CN
H150,CN
H247,CN
H285,CN
H326,CN
H362,CN
H363,CN
H377,CN
H378,CN
H385,CN
H391,CN
H395,CN
H407,CN
H447,CN
H453,CN
H462,CN
H472,CN
H473,CN
H474,CN
H578,CN
H633,CN
H695,CN
H704,CN
H710,CN
H716,CN
H727,CN
H746,CN
H755,CN
H770,CN
H812,CN
H851,CN
H852,CN
I037,CN
I210,CN
I316,CN
I367,CN
I372,CN
I470,CN
I484,CN
I512,CN
I646,CN
I659,CN
I750,CN
I817,CN
I822,CN
I823,CN
I985,CN
L048,CN
L252,CN
L241,CN
L278,CN
L281,CN
L367,CN
L410,CN
L427,CN
L558,CN
L580,CN
L631,CN
L729,CN
L758,CN
L771,CN
L804,CN
L817,CN
L841,CN
L888,CN
L942,CN
L974,CN
L990,CN
M015,CN
M055,CN
M063,CN
M136,CN
A072,AT
A173,AT
A312,AT
A352,AT
A479,AT
A527,AT
A588,AT
A770,AT
A812,AT
B221,AT
B236,AT
B306,AT
B376,AT
B418,AT
B425,AT
B469,AT
B594,AT
B633,AT
B707,AT
B991,AT
C022,AT
C049,AT
C047,AT
C064,AT
C127,AT
C154,AT
C161,AT
A300,AT
C226,AT
C230,AT
C232,AT
C253,AT
C438,AT
C440,AT
C528,AT
C533,AT
C583,AT
C658,AT
C701,AT
C739,AT
C804,AT
C807,AT
D046,AT
D050,AT
D051,AT
D052,AT
D072,AT
D101,AT
D119,AT
D207,AT
D388,AT
D554,AT
D678,AT
D802,AT
E134,AT
E159,AT
E295,AT
E338,AT
E633,AT
E917,AT
E944,AT
F254,AT
F308,AT
F311,AT
F316,AT
F323,AT
F325,AT
F336,AT
F343,AT
F361,AT
F386,AT
F390,AT
F409,AT
F468,AT
F527,AT
F556,AT
F902,AT
G048,AT
G358,AT
G430,AT
G593,AT
G676,AT
G692,AT
G894,AT
H102,AT
H219,AT
H250,AT
H366,AT
H376,AT
H392,AT
H451,AT
H466,AT
H468,AT
H811,AT
H899,AT
H987,AT
I017,AT
I076,AT
I555,AT
I637,AT
I678,AT
I698,AT
I781,AT
L168,AT
L203,AT
L531,AT
